"brand","model","processor_brand","processor_name","processor_gnrtn","ram_gb","ram_type","ssd","hdd","os","os_bit","graphic_card_gb","weight","display_size","warranty","Touchscreen","msoffice","latest_price","old_price","discount","star_rating","ratings","reviews"
"ASUS","Zenbook","Intel","Core i5","11th","8 GB GB","LPDDR4X","512 GB","0 GB","Windows","32-bit",0,"Casual","Missing",1,"No","Yes",729.9,909.9,19,4.7,76,14
"DELL","Inspiron","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","16",1,"No","Yes",710.9,898.49,20,4.1,44,6
"ASUS","ZenBook","Intel","Core i5","10th","8 GB GB","LPDDR3","512 GB","0 GB","Windows","64-bit",0,"Casual","Missing",1,"No","Yes",799.9,989.9,19,4.4,11,3
"MSI","Modern","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","Missing",1,"No","No",554.9,679.9,18,4.3,138,16
"DELL","Vostro","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",2,"ThinNlight","Missing",1,"No","Yes",664.9,871.68,23,4.1,199,17
"ASUS","VivoBook","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","Missing",1,"No","Yes",534,695,23,4.1,46,6
"DELL","Inspiron","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","Missing",1,"Yes","Yes",745,789.9,5,4.4,45,5
"DELL","Vostro","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",2,"ThinNlight","Missing",0,"No","No",619.9,688.59,9,4.1,35,4
"APPLE","MacBook","Intel","Core i5","10th","8 GB GB","LPDDR4X","512 GB","0 GB","Mac","64-bit",0,"Casual","16",1,"No","No",1599.9,1749,8,4.4,32,5
"APPLE","MacBook","Intel","Core i5","8th","8 GB GB","DDR3","512 GB","0 GB","Mac","64-bit",0,"Casual","Missing",1,"No","No",1720.9,1799,4,4.2,108,13
"MSI","Modern","Intel","Core i5","10th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","Missing",1,"No","No",564.9,572.4,1,4.5,814,112
"Lenovo","Ideapad","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","Missing",1,"No","Yes",559.9,654.38,14,4.2,75,9
"Lenovo","IdeaPad","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","32-bit",2,"Casual","16",1,"No","Yes",709.9,1132.9,37,4.6,11,3
"Lenovo","ThinkPad","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","Missing",1,"No","Yes",649.9,774.87,16,4.4,125,11
"MSI","Modern","Intel","Core i5","10th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","Missing",1,"No","No",549.9,619.9,11,4.4,714,147
"Vaio","SE","Intel","Core i5","8th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","Missing",2,"No","Yes",628.9,846.9,25,4,85,14
"Lenovo","Yoga","Intel","Core i5","10th","8 GB GB","LPDDR4X","512 GB","0 GB","Windows","64-bit",2,"Casual","Missing",1,"No","Yes",707.98,1010.9,29,4,21,3
"Lenovo","Legion","Intel","Core i5","9th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",4,"Casual","Missing",0,"No","No",599.9,849.9,29,3.8,9,1
"HP","14s","Intel","Core i5","10th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","Missing",1,"No","Yes",559.9,779.96,28,4.2,30,4
"ASUS","ZenBook","Intel","Core i5","8th","8 GB GB","LPDDR3","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","Missing",1,"No","No",729.9,909.9,19,4.2,44,4
"acer","Swift","Intel","Core i5","8th","8 GB GB","DDR3","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","Missing",1,"No","No",649.9,879.99,26,3.8,4,1
"HP","HP","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",2,"Casual","16",1,"Yes","Yes",769.9,992.03,22,4.4,14,2
"Lenovo","Ideapad","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","Missing",2,"No","Yes",629.98,798.9,21,4.3,739,71
"DELL","Inspiron","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","16",1,"Yes","Yes",779.9,982,20,4.5,31,5
"HP","Spectre","Intel","Core i5","10th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"Casual","Missing",1,"Yes","Yes",1149.9,1228.03,6,4.4,145,19
"DELL","Inspiron","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",2,"Casual","16",1,"No","Yes",889.9,906.05,1,3.8,19,2
"Mi","Notebook","Intel","Core i5","10th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",2,"Casual","Missing",1,"No","No",549.9,599.99,8,4.3,545,74
"ASUS","VivoBook","Intel","Core i5","11th","8 GB GB","LPDDR4X","512 GB","0 GB","Windows","64-bit",0,"Casual","Missing",1,"Yes","Yes",739.9,849.9,12,4.2,32,6
"HP","Missing","Intel","Core i5","11th","8 GB GB","DDR4","512 GB","0 GB","Windows","64-bit",0,"ThinNlight","Missing",1,"No","Yes",610,680,10,4.3,1124,100
